"V1","V2","V3"
"0",0,0,0
"100",0,0,0
"200",0,0,0
"300",0,0,0
"400",0,0,0
"500",0,0,0.00139275766016713
"600",0,0,0.00779766931261612
"700",0,0.0123456790123457,0.0304127603347386
"800",0.0217549062914116,0.041036717062635,0.0655331300373538
"900",0.0344787308764610,0.0570175438596491,0.0809957132112595
"1000",0.0512820512820513,0.0717017208413002,0.0965904688105385
"1100",0.0701158913467795,0.0934065934065934,0.125676859094018
"1200",0.0641808956855476,0.0892857142857143,0.114301611449177
"1300",0.0611691774466709,0.082047116165719,0.107808494422504
"1400",0.0506744563573059,0.0739827373612824,0.0948724176357973
"1500",0.04,0.0627737226277372,0.0856436035836905
"1600",0.0412041010743155,0.0563961485557084,0.0758981988173849
"1700",0.0334749853463435,0.0539864140150161,0.071255060728745
"1800",0.0212320266029694,0.04,0.0568718356682779
"1900",0.0117637127999048,0.0277777777777778,0.0449589808594913
"2000",0.0107382743809276,0.0263852242744063,0.0420150458142440
"2100",0.00747728860936408,0.0210669384981312,0.0344827586206897
"2200",0.0075187969924812,0.0188679245283019,0.0329082367990828
"2300",0.00144319376906817,0.0102564102564103,0.0203166230448936
"2400",0,0.00744047619047619,0.017646763197841
"2500",0,0.00719424460431655,0.0150862068965517
"2600",0,0.00446713465220166,0.0113544275821424
"2700",0,0.00344827586206897,0.0119047619047619
"2800",0,0.00229621125143513,0.00756100603217391
"2900",0,0.000838926174496644,0.0054151800987244
"3000",0,0.00122549019607843,0.00638468084239061
"3100",0,0.00140508641281439,0.00641540107832243
"3200",0,0,0.00381533821277389
"3300",0,0,0.00284900863022344
"3400",0,0,0.00263568055311715
"3500",0,0,0.00112962521070812
"3600",0,0,0.000327006119472151
"3700",0,0,0.00052982978131409
"3800",0,0,0
"3900",0,0,0
"4000",0,0,0
"4100",0,0,0
"4200",0,0,0
"4300",0,0,0
"4400",0,0,0
"4500",0,0,0
"4600",0,0,0
"4700",0,0,0
"4800",0,0,0
"4900",0,0,0
"5000",0,0,0
"5100",0,0,0
"5200",0,0,0
"5300",0,0,0
"5400",0,0,0
"5500",0,0,0
"5600",0,0,0
"5700",0,0,0
"5800",0,0,0
"5900",0,0,0
"6000",0,0,0
"6100",0,0,0
"6200",0,0,0
"6300",0,0,0
"6400",0,0,0
"6500",0,0,0
"6600",0,0,0
"6700",0,0,0
"6800",0,0,0
"6900",0,0,0
"7000",0,0,0
"7100",0,0,0
"7200",0,0,0
"7300",0,0,0
"7400",0,0,0
"7500",0,0,0
