"V1","V2","V3"
"0",0,0,0
"100",0,0,0
"200",0,0,0
"300",0,0,0
"400",0,0,0
"500",0,0,0
"600",0,0,0
"700",0,0,0.00514842338105196
"800",0,0.00925659680696117,0.0325055061659808
"900",0,0.0353216374269006,0.0711029853736726
"1000",0,0.0550559477580706,0.0961585033601744
"1100",0.0282022322614934,0.0871853258471917,0.133124159569700
"1200",0.0280373831775701,0.0814398111307757,0.136759213502367
"1300",0.0520244821092279,0.0877718247715096,0.142299107142857
"1400",0.0446969696969697,0.075844614896261,0.123688168734831
"1500",0,0.0715443867342601,0.109506302521009
"1600",0,0.06263503921331,0.0755876054132072
"1700",0,0.0449494949494949,0.0755507662835249
"1800",0,0.0223180024758306,0.0554678989863713
"1900",0,0.015625,0.0467768183173892
"2000",0,0.0086529498275147,0.0364579303675049
"2100",0,0.00521526551677306,0.0339813724240214
"2200",0,0.00676932492371306,0.0280395688694705
"2300",0,0,0.0213303206805434
"2400",0,0,0.0138679389391715
"2500",0,0,0.00900302883001553
"2600",0,0,0.00692613370733988
"2700",0,0,0.00805813267990747
"2800",0,0,0.00227893231458517
"2900",0,0,0.0029622398572739
"3000",0,0,0.00123772105141506
"3100",0,0,0.000331669760856243
"3200",0,0,0.000173691523853636
"3300",0,0,0.000213013620806986
"3400",0,0,0
"3500",0,0,0
"3600",0,0,0
"3700",0,0,0
"3800",0,0,0
"3900",0,0,0
"4000",0,0,0
"4100",0,0,0
"4200",0,0,0
"4300",0,0,0
"4400",0,0,0
"4500",0,0,0
"4600",0,0,0
"4700",0,0,0
"4800",0,0,0
"4900",0,0,0
"5000",0,0,0
"5100",0,0,0
"5200",0,0,0
"5300",0,0,0
"5400",0,0,0
"5500",0,0,0
"5600",0,0,0
"5700",0,0,0
"5800",0,0,0
"5900",0,0,0
"6000",0,0,0
"6100",0,0,0
"6200",0,0,0
"6300",0,0,0
"6400",0,0,0
"6500",0,0,0
"6600",0,0,0
"6700",0,0,0
"6800",0,0,0
"6900",0,0,0
"7000",0,0,0
"7100",0,0,0
"7200",0,0,0
"7300",0,0,0
"7400",0,0,0
"7500",0,0,0
