"V1","V2","V3"
"0",0,0,0
"100",0,0,0
"200",0,0,0
"300",0,0,0
"400",0,0,0
"500",0,0,0
"600",0,0,0.0078557421344341
"700",0,0.00841848319005313,0.0278905835883932
"800",0.0113536123478072,0.0350115291709186,0.0615669237965593
"900",0.0297198243222777,0.0565780168242388,0.0814080102482951
"1000",0.0451686490148028,0.0710310172431385,0.097516754780763
"1100",0.0602964904304727,0.0872347087411683,0.117149483913590
"1200",0.0576329353649675,0.0861641713990708,0.112956531710473
"1300",0.0518289275135528,0.0736163478098962,0.0978778626974158
"1400",0.046763982893895,0.070598365637874,0.0918964201156638
"1500",0.0392370611035111,0.0622416228562315,0.0838384184715165
"1600",0.0385405616478474,0.0578785404851721,0.0772608668539322
"1700",0.0326496613502294,0.0533630310488873,0.0715954502197769
"1800",0.0212765957446809,0.0404894364879257,0.057306619087226
"1900",0.0132246236225361,0.0301194008436734,0.0470614355866681
"2000",0.00921446817900213,0.0239531623701698,0.0393091172168989
"2100",0.00754007660661086,0.0195158573207353,0.0342315727793686
"2200",0.00718908374018146,0.0186219811044495,0.0327927316947686
"2300",0.00188622659042258,0.0106189330163118,0.020576582127954
"2400",0.000454365575878906,0.00749088908684451,0.0174941443464120
"2500",0,0.0072992700729927,0.0156105772706085
"2600",0,0.00469483568075117,0.0125790449844179
"2700",0,0.00398318231498784,0.0118743360681120
"2800",0,0.00292317825072068,0.00857763333844075
"2900",0,0.00149198081182455,0.00668787238907345
"3000",0,0.00122965795592945,0.0063316214969207
"3100",0,0.000727009225168314,0.0057684778722893
"3200",0,0,0.00366367503464277
"3300",0,0,0.00307692307692308
"3400",0,0,0.00179896586780980
"3500",0,0,0
"3600",0,0,0
"3700",0,0,0
"3800",0,0,0
"3900",0,0,0
"4000",0,0,0
"4100",0,0,0
"4200",0,0,0
"4300",0,0,0
"4400",0,0,0
"4500",0,0,0
"4600",0,0,0
"4700",0,0,0
"4800",0,0,0
"4900",0,0,0
"5000",0,0,0
"5100",0,0,0
"5200",0,0,0
"5300",0,0,0
"5400",0,0,0
"5500",0,0,0
"5600",0,0,0
"5700",0,0,0
"5800",0,0,0
"5900",0,0,0
"6000",0,0,0
"6100",0,0,0
"6200",0,0,0
"6300",0,0,0
"6400",0,0,0
"6500",0,0,0
"6600",0,0,0
"6700",0,0,0
"6800",0,0,0
"6900",0,0,0
"7000",0,0,0
"7100",0,0,0
"7200",0,0,0
"7300",0,0,0
"7400",0,0,0
"7500",0,0,0
